               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097793,            0.024834,           0.0031934,             0.13675,                   0,                   0,                   0,                   0,                   0,          0.00011737,                   0,                   0,             0.00098,             0.00098,             0.09118
                   1,            0.072585,            0.026108,           0.0011455,            0.072071,                   0,                   0,                   0,                   0,                   0,           0.0041557,                   0,                   0,           0.0019696,           0.0019696,             0.08227
                   2,            0.070773,            0.017755,          0.00051795,            0.047442,                   0,                   0,                   0,                   0,                   0,           0.0047785,                   0,                   0,           0.0029577,           0.0029577,            0.073358
                   3,            0.069679,             0.01559,          0.00026793,            0.034712,                   0,                   0,                   0,                   0,                   0,           0.0050774,                   0,                   0,            0.003943,            0.003943,            0.064443
                   4,            0.067151,            0.014601,          0.00019057,             0.03028,                   0,                   0,                   0,                   0,                   0,           0.0072973,                   0,                   0,           0.0049244,           0.0049244,            0.055524
                   5,            0.069702,            0.014026,          0.00019454,            0.029931,                   0,                   0,                   0,                   0,                   0,            0.010197,                   0,                   0,           0.0059008,           0.0059008,            0.046601
                   6,              0.0651,            0.013487,          0.00017516,            0.028845,                   0,                   0,                   0,                   0,                   0,           0.0060519,                   0,                   0,            0.006871,            0.006871,            0.037671
                   7,            0.060791,            0.013407,          0.00016819,            0.028313,                   0,                   0,                   0,                   0,                   0,           0.0084411,                   0,                   0,           0.0078338,           0.0078338,            0.028734
                   8,            0.059613,            0.012836,          0.00016152,            0.028056,                   0,                   0,                   0,                   0,                   0,            0.011776,                   0,                   0,           0.0087882,           0.0087882,            0.019788
                   9,            0.057716,            0.012681,          0.00015607,            0.027663,                   0,                   0,                   0,                   0,                   0,            0.012334,                   0,                   0,           0.0097329,           0.0097329,            0.010833
                  10,            0.052861,             0.01172,          0.00013502,            0.026727,                   0,                   0,                   0,                   0,                   0,             0.01175,                   0,                   0,           0.0098042,           0.0098042,           0.0098042
                  11,             0.05034,            0.011219,          0.00013087,            0.026457,                   0,                   0,                   0,                   0,                   0,            0.010947,                   0,                   0,           0.0098042,           0.0098042,           0.0098042
                  12,            0.046807,            0.010695,          0.00012219,            0.026043,                   0,                   0,                   0,                   0,                   0,            0.011953,                   0,                   0,           0.0097635,           0.0097635,           0.0097635
                  13,            0.044843,            0.010227,          0.00011731,            0.025844,                   0,                   0,                   0,                   0,                   0,            0.011054,                   0,                   0,           0.0097191,           0.0097191,           0.0097191
